title,url,author_name,word_count
Final Piala FA 'paling panas' - Sadek,https://www.hmetro.com.my/utama/2024/08/1125870/final-piala-fa-paling-panas-sadek,Amirul Fazli Zulkafli,356
Kalau Presley dia tak jadi penerjun tetapi penyanyi - Clement,https://www.hmetro.com.my/utama/2024/08/1125853/kalau-presley-dia-tak-jadi-penerjun-tetapi-penyanyi-clement,Faizal Salim,544
"Zii Jia terima RM250,000, Aaron-Wooi Yik dapat RM100,000 seorang",https://www.hmetro.com.my/utama/2024/08/1125841/zii-jia-terima-rm250000-aaron-wooi-yik-dapat-rm100000-seorang,Amirul Fazli Zulkafli,297
Fakrul Afizul atlet pertama pecah rekod kebangsaan olahraga,https://www.hmetro.com.my/utama/2024/08/1125819/fakrul-afizul-atlet-pertama-pecah-rekod-kebangsaan-olahraga,Helmi Talkah,140
"Wak Doyok jadi mangsa tipu, rugi RM3 juta",https://www.hmetro.com.my/utama/2024/08/1125796/wak-doyok-jadi-mangsa-tipu-rugi-rm3-juta,Ramlah Zainal,275
'Kenyang' dek habuan satu kepala RM3.5k,https://www.hmetro.com.my/utama/2024/08/1125667/kenyang-dek-habuan-satu-kepala-rm35k,,204
Pengkhianat 'setting counter',https://www.hmetro.com.my/utama/2024/08/1125655/pengkhianat-setting-counter,Mohd Jamilul Anbia Md Denin,441
"Yasin dipenjara seumur hidup, 16 sebatan",https://www.hmetro.com.my/utama/2024/08/1125651/yasin-dipenjara-seumur-hidup-16-sebatan,Suraya Roslan,343
Ayuh terjemah merdeka!,https://www.hmetro.com.my/utama/2024/08/1125572/ayuh-terjemah-merdeka,Sudirman Mohd Tahir,543
Ayuh terjemah merdeka!,https://www.hmetro.com.my/utama/2024/08/1125572/ayuh-terjemah-merdeka,Sudirman Mohd Tahir,543
Anak seni hargai ilmu,https://www.hmetro.com.my/utama/2024/08/1125543/anak-seni-hargai-ilmu,Norhayati Nordin,510
Chen Jie bidik emas ketujuh menembak Sukma,https://www.hmetro.com.my/utama/2024/08/1125463/chen-jie-bidik-emas-ketujuh-menembak-sukma,Syazwan Msar,177
"Pegawai, anggota APMM cedera diserang nelayan Vietnam",https://www.hmetro.com.my/utama/2024/08/1125459/pegawai-anggota-apmm-cedera-diserang-nelayan-vietnam,Zaid Salim,259
"Bas SUK Selangor kemalangan, 6 parah, 15 cedera",https://www.hmetro.com.my/utama/2024/08/1125429/bas-suk-selangor-kemalangan-6-parah-15-cedera,Ruwaida Md Zain,190
Faisal tiada dalam senarai 26 pemain Pestabola Merdeka 2024,https://www.hmetro.com.my/utama/2024/08/1125402/faisal-tiada-dalam-senarai-26-pemain-pestabola-merdeka-2024,Amirul Fazli Zulkafli,271
"12 ditahan seludup masuk warga asing, anggota penguat kuasa antara dalang",https://www.hmetro.com.my/utama/2024/08/1125199/12-ditahan-seludup-masuk-warga-asing-anggota-penguat-kuasa-antara-dalang,Mohd Iskandar Ibrahim,386
Rasa teruja nyanyi lagu tema merdeka,https://www.hmetro.com.my/utama/2024/08/1125147/rasa-teruja-nyanyi-lagu-tema-merdeka,Syafil Syazwan Jefri,357
'Pan-Asia' bukan jaminan,https://www.hmetro.com.my/utama/2024/08/1125145/pan-asia-bukan-jaminan,Najiy Jefri,520
Penjenayah warga Afrika mati ditembak polis: 10 lagi ahli kumpulan samun diburu,https://www.hmetro.com.my/utama/2024/08/1125103/penjenayah-warga-afrika-mati-ditembak-polis-10-lagi-ahli-kumpulan-samun-diburu,Hafidzul Hilmi Mohd Noor,250
SPRM gempur KLIA,https://www.hmetro.com.my/utama/2024/08/1125091/sprm-gempur-klia,Mohd Jamilul Anbia Md Denin,421
Polis tembak mati penjenayah warga Afrika,https://www.hmetro.com.my/utama/2024/08/1125089/polis-tembak-mati-penjenayah-warga-afrika,Hafidzul Hilmi Mohd Noor,93
"Kes bunuh isteri, anak: Suspek sempat minta imam rukyah anak dakwa dirasuk",https://www.hmetro.com.my/utama/2024/08/1124985/kes-bunuh-isteri-anak-suspek-sempat-minta-imam-rukyah-anak-dakwa-dirasuk,Zuliaty Zulkiffli,373
"Menangis sampai tertidur, pau tak sempat beli",https://www.hmetro.com.my/utama/2024/08/1124844/menangis-sampai-tertidur-pau-tak-sempat-beli,Mohd Haris Fadli Mohd Fadzil,259
"Penganggur dituduh bunuh ibu bapa, anak saudara",https://www.hmetro.com.my/utama/2024/08/1124832/penganggur-dituduh-bunuh-ibu-bapa-anak-saudara,Alias Abd Rani,273
"'Saya beritahu anak-anak, mama pergi jauh kerana Allah sayang' - Suami Cikgu Istiqomah",https://www.hmetro.com.my/utama/2024/08/1124820/saya-beritahu-anak-anak-mama-pergi-jauh-kerana-allah-sayang-suami-cikgu,Nor Fazlina Abdul Rahim,238
Rasa rindu kesopanan orang kita,https://www.hmetro.com.my/utama/2024/08/1124748/rasa-rindu-kesopanan-orang-kita,Aida Adilah Mat,536
Tak boleh lebih  2km,https://www.hmetro.com.my/utama/2024/08/1124739/tak-boleh-lebih-2km,Hidayatidayu Razali,253
Kemilau bintang Siti,https://www.hmetro.com.my/utama/2024/08/1124723/kemilau-bintang-siti,Syafil Syazwan Jefri,652
Jenazah Istiqomah selamat dikebumikan,https://www.hmetro.com.my/utama/2024/08/1124711/jenazah-istiqomah-selamat-dikebumikan,Syaherah Mustafa,253
Jenazah Istiqomah selamat dikebumikan,https://www.hmetro.com.my/utama/2024/08/1124711/jenazah-istiqomah-selamat-dikebumikan,Syaherah Mustafa,253
"Ibu, anak mati dibunuh dengan kesan kelar, lelaki ditahan - Polis",https://www.hmetro.com.my/utama/2024/08/1124709/ibu-anak-mati-dibunuh-dengan-kesan-kelar-lelaki-ditahan-polis,Zuliaty Zulkiffli,283
"Mayat dua wanita ditemukan dalam longkang, dipercayai ada pertalian keluarga",https://www.hmetro.com.my/utama/2024/08/1124695/mayat-dua-wanita-ditemukan-dalam-longkang-dipercayai-ada-pertalian-keluarga,Zuliaty Zulkiffli,139
"'Saya tak mahu tahu, tak mahu tengok muka suspek' - Bapa Nuraina Humaira",https://www.hmetro.com.my/utama/2024/08/1124671/saya-tak-mahu-tahu-tak-mahu-tengok-muka-suspek-bapa-nuraina-humaira,Muhamad Lokman Khairi,301
Qistina pecah tiga rekod kebangsaan angkat berat,https://www.hmetro.com.my/utama/2024/08/1124622/qistina-pecah-tiga-rekod-kebangsaan-angkat-berat,BERNAMA,310
Syamsul Yusof failkan perceraian pada Ira Kazar hari ini,https://www.hmetro.com.my/utama/2024/08/1124613/syamsul-yusof-failkan-perceraian-pada-ira-kazar-hari-ini,Wartawan Harian Metro,128
"'Saya pelik keropok diikat tinggi, macam mana dua beradik itu boleh ambil' - Uzair Shafawi",https://www.hmetro.com.my/utama/2024/08/1124544/saya-pelik-keropok-diikat-tinggi-macam-mana-dua-beradik-itu-boleh-ambil-uzair,Zuliaty Zulkiffli,507
'Moga syahid buat bidadari syurgaku' - suami Cikgu Istiqomah,https://www.hmetro.com.my/utama/2024/08/1124471/moga-syahid-buat-bidadari-syurgaku-suami-cikgu-istiqomah,Mary Victoria Dass,301
Pelabur mata wang asing didakwa bunuh Cikgu Istiqomah,https://www.hmetro.com.my/utama/2024/08/1124422/pelabur-mata-wang-asing-didakwa-bunuh-cikgu-istiqomah,Meor Riduwan Meor Ahmad,278
Suspek bunuh Cikgu Istiqomah didakwa pagi ini,https://www.hmetro.com.my/utama/2024/08/1124395/suspek-bunuh-cikgu-istiqomah-didakwa-pagi-ini,Meor Riduwan Meor Ahmad,310
Remaja disyaki bunuh Nuraina Humaira direman 7 hari,https://www.hmetro.com.my/utama/2024/08/1124389/remaja-disyaki-bunuh-nuraina-humaira-direman-7-hari,Muhamad Lokman Khairi,193
'Kami hanya dapat 2 penumpang sehari',https://www.hmetro.com.my/utama/2024/08/1124379/kami-hanya-dapat-2-penumpang-sehari,Hidayatidayu Razali,401
MHO selamatkan hak rakyat teraniaya,https://www.hmetro.com.my/utama/2024/08/1124371/mho-selamatkan-hak-rakyat-teraniaya,Raja Noraina Raja Rahim,437
Lyodra kian mengharum,https://www.hmetro.com.my/utama/2024/08/1124338/lyodra-kian-mengharum,Georgie Joseph,734
"Kematian Nuraina Humaira, polis tahan remaja Orang Asli 17 tahun",https://www.hmetro.com.my/utama/2024/08/1124274/kematian-nuraina-humaira-polis-tahan-remaja-orang-asli-17-tahun,Muhammad Zulsyamini Sufian Suri,181
"Kanak-kanak Orang Asli dipercayai dirogol, dibunuh - Polis",https://www.hmetro.com.my/utama/2024/08/1124266/kanak-kanak-orang-asli-dipercayai-dirogol-dibunuh-polis,Muhammad Zulsyamini Sufian Suri,233
"Hampir tiga minggu diburu, akhirnya 'hantu' Jalan Austin Heights Utama dicekup polis",https://www.hmetro.com.my/utama/2024/08/1124186/hampir-tiga-minggu-diburu-akhirnya-hantu-jalan-austin-heights-utama-dicekup,Izz Laily Hussein,339
"Kanak-kanak 8 tahun maut dipercayai dipukul, ibu dan bapa tiri ditahan",https://www.hmetro.com.my/utama/2024/08/1124182/kanak-kanak-8-tahun-maut-dipercayai-dipukul-ibu-dan-bapa-tiri-ditahan,Muhaamad Hafis Nawawi,200
Waspada jika penyewa bayar sewa sekali gus,https://www.hmetro.com.my/utama/2024/08/1124132/waspada-jika-penyewa-bayar-sewa-sekali-gus,Skuad Khas Harian Metro,580
"Jasad Nuraina, 10, ditemukan selepas hilang sejak Jumaat",https://www.hmetro.com.my/utama/2024/08/1124119/jasad-nuraina-10-ditemukan-selepas-hilang-sejak-jumaat,Muhammad Zulsyamini Sufian Suri,252
"Jasad Nuraina, 10, ditemukan selepas hilang sejak Jumaat",https://www.hmetro.com.my/utama/2024/08/1124119/jasad-nuraina-10-ditemukan-selepas-hilang-sejak-jumaat,Muhammad Zulsyamini Sufian Suri,252
Penyewa pasang pintu 'kalis peluru'!,https://www.hmetro.com.my/utama/2024/08/1124111/penyewa-pasang-pintu-kalis-peluru,Skuad Khas Harian Metro,605
Mengukir nama di puncak dunia,https://www.hmetro.com.my/utama/2024/08/1124044/mengukir-nama-di-puncak-dunia,Muhammad Saufi Hassan,342
Kata-kata bertukar jadi nista,https://www.hmetro.com.my/utama/2024/08/1124039/kata-kata-bertukar-jadi-nista,Nor ‘Asyikin Mat Hayin,956
Bersaing menangi undi di 50 negeri,https://www.hmetro.com.my/utama/2024/08/1124025/bersaing-menangi-undi-di-50-negeri,Agensi,330
Harmoni 28 tahun,https://www.hmetro.com.my/utama/2024/08/1123997/harmoni-28-tahun,Norhayati Nordin,568
"Lebih 40,000 penonton hadir perasmian pembukaan Sukma Sarawak",https://www.hmetro.com.my/utama/2024/08/1123965/lebih-40000-penonton-hadir-perasmian-pembukaan-sukma-sarawak,Syazwan Msar dan Mohd Roji Kawi,328
Mohd Azmawi Fikri rasmi menang PRK Dun Nenggiri,https://www.hmetro.com.my/utama/2024/08/1123953/mohd-azmawi-fikri-rasmi-menang-prk-dun-nenggiri,Nor Fazlina Abdul Rahim,233
"PRK Dun Nenggiri: Kira undi selesai, BN menang besar",https://www.hmetro.com.my/utama/2024/08/1123923/prk-dun-nenggiri-kira-undi-selesai-bn-menang-besar,Nor Fazlina Abdul Rahim,191
Terkini: Keputusan PRK Dun Nenggiri,https://www.hmetro.com.my/utama/2024/08/1123896/terkini-keputusan-prk-dun-nenggiri,Nor Fazlina Abdul Rahim,164
5 tahun lagi sebelum tanah kubur di KL penuh,https://www.hmetro.com.my/utama/2024/08/1123825/5-tahun-lagi-sebelum-tanah-kubur-di-kl-penuh,Essa Abu Yamin,440
Jiwa kacau di usia belasan tahun,https://www.hmetro.com.my/utama/2024/08/1123736/jiwa-kacau-di-usia-belasan-tahun,Mohd Jamilul Anbia Md Denin dan Nurul Najwa Mohd Noordin,704
